MSOA code,low,mid,high
E02001156,221000 ,265000 ,330000 
E02001157,103750 ,146000 ,178750 
E02001158,113749 ,141000 ,159625 
E02001159,167000 ,181000 ,216750 
E02001160,171625 ,211500 ,230500 
E02001161,202500 ,232750 ,251250 
E02001162,162500 ,195000 ,222000 
E02001163,214750 ,257750 ,339500 
E02001164,193750 ,255000 ,289375 
E02001165,193500 ,200000 ,206000 
E02001166,375000 ,470000 ,605000 
E02001167,231250 ,295000 ,397500 
E02001168,146250 ,190000 ,270000 
E02001169,265750 ,341500 ,462500 
E02001170,285000 ,400000 ,507000 
E02001171,225000 ,237000 ,296250 
E02001172,173000 ,240000 ,285000 
E02001173,106000 ,134000 ,162000 
E02001174,185750 ,235000 ,259625 
E02001175,227500 ,260000 ,293713 
E02001176,263750 ,350000 ,465000 
E02001177,215000 ,254250 ,305001 
E02001178,#N/A,#N/A,#N/A
E02001179,150000 ,180750 ,208625 
E02001180,150000 ,150000 ,150000 
E02001181,175000 ,175000 ,175000 
E02001182,139299 ,141200 ,151000 
E02001183,183738 ,207250 ,225000 
E02001184,232100 ,338650 ,343000 
E02001185,178250 ,199995 ,261500 
E02001186,185250 ,237250 ,270500 
E02001187,203625 ,217000 ,245250 
E02001188,148500 ,182475 ,218750 
E02001189,260000 ,276500 ,325000 
E02001190,115000 ,130000 ,132500 
E02001191,247000 ,311000 ,363363 
E02001192,401000 ,465000 ,557000 
E02001193,138938 ,222000 ,293750 
E02001194,396500 ,515000 ,595000 
E02001195,212500 ,224700 ,245500 
E02001196,282500 ,334000 ,432625 
E02001197,370000 ,395000 ,445000 
E02001198,229000 ,265500 ,311500 
E02001199,380638 ,470500 ,615000 
E02001200,155000 ,170000 ,240500 
E02001201,172875 ,217500 ,246000 
E02001202,156500 ,165250 ,196250 
E02001203,363505 ,436000 ,525000 
E02001204,217403 ,239000 ,286250 
E02001205,193500 ,232000 ,290000 
E02001206,293500 ,350000 ,445000 
E02001207,254500 ,280000 ,316500 
E02001208,216719 ,257500 ,295050 
E02001209,296000 ,342000 ,380000 
E02001210,205375 ,253000 ,288500 
E02001211,301250 ,357500 ,443125 
E02001212,148250 ,149500 ,150750 
E02001213,270000 ,355000 ,410000 
E02001214,382500 ,445000 ,542500 
E02001215,246500 ,295000 ,378000 
E02001216,372000 ,412500 ,488438 
E02001217,231750 ,255000 ,307500 
E02001218,379800 ,540000 ,743500 
E02001219,342500 ,360000 ,480000 
E02001220,299988 ,397500 ,520000 
E02001221,307500 ,365000 ,460750 
E02001222,308750 ,350000 ,399000 
E02001223,385125 ,503750 ,627500 
E02001224,283750 ,351250 ,420000 
E02001225,361250 ,436250 ,505250 
E02001226,250000 ,304975 ,353750 
E02001227,391000 ,452000 ,600000 
E02001228,422500 ,500000 ,687949 
E02001229,138750 ,186500 ,271000 
E02001230,182000 ,240000 ,286000 
E02001231,242000 ,277500 ,320000 
E02001232,189500 ,219000 ,248625 
E02001233,147500 ,208000 ,225000 
E02001234,94875 ,97750 ,100625 
E02001235,184000 ,243000 ,267500 
E02001236,149750 ,155000 ,159625 
E02001237,160563 ,238750 ,297463 
E02001238,180750 ,199000 ,255750 
E02001239,141434 ,158998 ,170000 
E02001240,164950 ,182500 ,245000 
E02001241,112750 ,206000 ,302500 
E02001242,239500 ,252000 ,275000 
E02001243,258750 ,341500 ,425000 
E02001244,180000 ,190000 ,240000 
E02001245,197000 ,232500 ,250000 
E02001246,188625 ,218750 ,262500 
E02001247,143625 ,210500 ,268375 
E02001248,167500 ,199500 ,242583 
E02001249,178125 ,193000 ,231500 
E02001250,225000 ,270000 ,290000 
E02001251,230000 ,275000 ,332500 
E02001252,177625 ,198250 ,227746 
E02001253,176875 ,206250 ,221875 
E02001254,149000 ,175000 ,203500 
E02001255,257625 ,293750 ,320000 
E02001256,169950 ,235000 ,260000 
E02001257,230000 ,245000 ,260000 
E02001258,234750 ,278750 ,400000 
E02001259,227500 ,240000 ,271500 
E02001260,273250 ,316225 ,340000 
E02001261,187750 ,226025 ,245000 
E02001262,275000 ,315000 ,345438 
E02001263,308375 ,359250 ,452500 
E02001264,250000 ,282500 ,321000 
E02001265,249963 ,290000 ,320750 
E02001266,249000 ,287000 ,357500 
E02001267,320000 ,380000 ,423000 
E02001268,313367 ,350000 ,410000 
E02001269,275000 ,340000 ,422000 
E02001270,340000 ,377500 ,479150 
E02001271,310000 ,330000 ,352500 
E02001272,359750 ,436125 ,477750 
E02001273,364500 ,495000 ,599500 
E02001274,436375 ,502000 ,610000 
E02001275,162500 ,194975 ,211250 
E02001276,310000 ,350000 ,380000 
E02001277,345250 ,395000 ,439000 
E02001278,340000 ,435000 ,467125 
E02001279,335000 ,367000 ,472500 
E02001280,399525 ,421250 ,509875 
E02001281,392625 ,442500 ,495000 
E02001282,355611 ,418795 ,444500 
E02001283,500000 ,640000 ,885000 
E02001284,557500 ,715000 ,805000 
E02001285,669750 ,773750 ,1137500 
E02001286,601250 ,780000 ,967500 
E02001287,215000 ,235000 ,282000 
E02001288,221750 ,285000 ,359996 
E02001289,185750 ,210000 ,250375 
E02001290,240000 ,310000 ,420000 
E02001291,167500 ,180500 ,192000 
E02001292,197250 ,262000 ,304000 
E02001293,150000 ,210000 ,259000 
E02001294,158238 ,201000 ,248750 
E02001295,110250 ,147500 ,148750 
E02001296,#N/A,#N/A,#N/A
E02001297,165000 ,185000 ,307500 
E02001298,117988 ,128500 ,143500 
E02001299,173000 ,205000 ,244000 
E02001300,128000 ,145000 ,198500 
E02001301,89375 ,117500 ,149125 
E02001302,160250 ,221000 ,235000 
E02001303,161000 ,170000 ,236169 
E02001304,175000 ,230000 ,269995 
E02001305,150000 ,163500 ,218500 
E02001306,144000 ,155000 ,223000 
E02001307,173000 ,218000 ,250000 
