MSOA code,low,mid,high
E02001024,#N/A,#N/A,#N/A
E02001025,#N/A,#N/A,#N/A
E02001026,57000 ,63000 ,67500 
E02001027,74500 ,75000 ,75000 
E02001028,#N/A,#N/A,#N/A
E02001029,#N/A,#N/A,#N/A
E02001030,#N/A,#N/A,#N/A
E02001031,73500 ,78500 ,88238 
E02001032,100000 ,100000 ,100000 
E02001033,40000 ,40000 ,40000 
E02001034,59000 ,59000 ,59000 
E02001035,78000 ,78000 ,78000 
E02001036,80000 ,80000 ,80000 
E02001037,47000 ,47000 ,49500 
E02001038,72000 ,75000 ,78500 
E02001039,95563 ,113375 ,131188 
E02001040,33500 ,35000 ,53500 
E02001041,74000 ,74000 ,74000 
E02001042,82125 ,84250 ,86375 
E02001043,#N/A,#N/A,#N/A
E02001044,82000 ,82000 ,82000 
E02001045,95000 ,95000 ,95000 
E02001046,39000 ,39000 ,39000 
E02001047,56000 ,59000 ,62488 
E02001048,58125 ,64750 ,70125 
E02001049,76000 ,76000 ,76000 
E02001050,#N/A,#N/A,#N/A
E02001051,#N/A,#N/A,#N/A
E02001052,50875 ,57250 ,63625 
E02001053,#N/A,#N/A,#N/A
E02001055,#N/A,#N/A,#N/A
E02001056,60000 ,60000 ,60000 
E02001057,150000 ,155000 ,175000 
E02001059,103250 ,106750 ,110000 
E02001061,75000 ,75000 ,75000 
E02001062,99950 ,102000 ,106000 
E02001063,112500 ,122000 ,122500 
E02001064,92000 ,92000 ,92000 
E02001065,39950 ,55225 ,71125 
E02001066,87750 ,141500 ,195250 
E02001067,#N/A,#N/A,#N/A
E02001068,105000 ,105000 ,105000 
E02001069,#N/A,#N/A,#N/A
E02001070,90000 ,107000 ,123750 
E02001071,82500 ,84000 ,85750 
E02001072,105000 ,118500 ,125000 
E02001073,146500 ,165000 ,165000 
E02001074,94813 ,103500 ,121750 
E02001075,82000 ,82500 ,85000 
E02001076,100475 ,106000 ,111500 
E02001077,120250 ,133750 ,149125 
E02001078,48000 ,48000 ,48000 
E02001079,#N/A,#N/A,#N/A
E02001080,59738 ,75500 ,89000 
E02001081,70000 ,70000 ,75000 
E02001082,137875 ,152475 ,166669 
E02001083,150000 ,166000 ,187500 
E02001084,119750 ,120500 ,121250 
E02001085,#N/A,#N/A,#N/A
E02001086,142100 ,155000 ,168000 
E02001087,133750 ,143000 ,151500 
E02001088,135000 ,135000 ,135000 
E02001089,137738 ,148475 ,159213 
E02001090,105625 ,139250 ,172875 
E02001091,59950 ,70000 ,76000 
E02001092,71000 ,72000 ,88500 
E02001093,122088 ,124225 ,126363 
E02001094,#N/A,#N/A,#N/A
E02001095,#N/A,#N/A,#N/A
E02001096,125000 ,125000 ,125000 
E02001097,#N/A,#N/A,#N/A
E02006902,143750 ,162500 ,181000 
E02006912,155000 ,170750 ,190000 
E02006913,136375 ,144000 ,154750 
E02006914,155000 ,168000 ,180000 
E02006915,59625 ,66500 ,132625 
E02006916,144250 ,160000 ,170000 
E02006917,163488 ,175750 ,203500 
E02001098,94000 ,102000 ,108500 
E02001099,#N/A,#N/A,#N/A
E02001100,92500 ,95000 ,97500 
E02001101,53500 ,53500 ,53500 
E02001102,85000 ,85000 ,85000 
E02001103,121750 ,126250 ,130613 
E02001104,119000 ,119000 ,119000 
E02001105,102750 ,113500 ,124250 
E02001106,74250 ,75000 ,75750 
E02001107,#N/A,#N/A,#N/A
E02001108,#N/A,#N/A,#N/A
E02001109,46750 ,48500 ,50250 
E02001110,101500 ,107500 ,111875 
E02001111,39995 ,39995 ,39995 
E02001112,78250 ,81500 ,84750 
E02001113,44000 ,44000 ,44000 
E02001114,#N/A,#N/A,#N/A
E02001115,160000 ,160000 ,160000 
E02001116,72500 ,75000 ,77500 
E02001117,121246 ,127498 ,136374 
E02001118,77500 ,90000 ,102500 
E02001119,70000 ,70000 ,70000 
